Felicie GERARD,et Alexandre GARCIN,Ensemble !,Nord - 7ème,26.77%
Léon Thébault,et Alexandra Dubois,NUPES,Aveyron - 1ère,21.55%
Arnaud Bonnet,et Amandine Janiaud-Vergnaud,NUPES,Seine-Et-Marne - 8ème,32.46%
Bruno Cailleteau,et Léonie Ferry,NUPES,Loire-Atlantique - 10ème,29.99%
Jean-Luc Fugit,et Magali Bacle-Coulouvrat,Ensemble !,Rhone - 11ème,30.55%
Violette Spillebout,et Raphael Charpentier,Ensemble !,Nord - 9ème,31.92%
Mathilde Panot,et Farida Chikh,NUPES,Val-De-Marne - 10ème,54.84%
Thomas GASSILLOUD,et Fabienne Tirtiaux,Ensemble !,Rhone - 10ème,36.10%
Yannick MONNET,et Jean-Paul DUFRÈGNE,NUPES,Allier - 1ère,30.57%
Ghislaine Bonnet,et Nathalie Buchot,NUPES,Sarthe - 1ère,22.97%
Pierre-Yves Cadalen,et Marie Mesmeur,NUPES,Finistere - 2ème,31.91%
Élisabeth Borne,et Freddy Sertin,Ensemble !,Calvados - 6ème,34.32%
Carine Pelegrin,et Laurent Jallu,NUPES,Val-D'oise - 3ème,28.96%
Léo WALTER,et Alice ALLAMEL,NUPES,Alpes-De-Haute-Provence - 2ème,29.30%
Anaïs Brood,et Steve Peto,Ensemble !,Seine-Saint-Denis - 2ème,9.05%
Marianne MAXIMI,et Diego LANDIVAR,NUPES,Puy-De-Dome - 1ère,34.50%
Hervé FABRE-AUBRESPY,et Maximilien FUSONE,Rassemblement National,Bouches-Du-Rhone - 11ème,23.23%
Louise Brody,et Nicolas hue,NUPES,Yvelines - 3ème,17.71%
Maryse COMBRES,et Philippe Lapeyrère,NUPES,Lot-Et-Garonne - 1ère,26.21%
Mireille Clapot,et Anne-Laure Thibaut,Ensemble !,Drome - 1ère,20.45%
Fabien Jouvé,et Clémentine RENAUD,NUPES,Haute-Garonne - 6ème,29.39%
MARGUERITE DEPREZ-AUDEBERT,et JEAN-CLAUDE THOREZ,Ensemble !,Pas-De-Calais - 9ème,22.90%
sarah el haïry,et Luc geismar,Ensemble !,Loire-Atlantique - 5ème,37.45%
William MARTINET,et Catherine PERROTIN RAUFASTE,NUPES,Yvelines - 11ème,32.20%
Alexis Corbière,et Sayna Shahryari,NUPES,Seine-Saint-Denis - 7ème,62.94%
Laurent Saint-Martin,et Daniel Guérin,Ensemble !,Val-De-Marne - 3ème,25.52%
Anne Bois,et Robin Magisson-Javaux,Ensemble !,Meuse - 2ème,19.17%
Claudia ROUAUX,et Benoît SOHIER,NUPES,Ille-Et-Vilaine - 3ème,35.72%
Delphine Bagarry,et Carole Toussaint,NUPES,Alpes-De-Haute-Provence - 1ère,27.99%
Bastien Lachaud,et Aline Lo Tutala,NUPES,Seine-Saint-Denis - 6ème,56.61%
Valérie RABAULT (PS),et Morgan TELLIER,NUPES,Tarn-Et-Garonne - 1ère,33.33%
Arthur Delaporte,et Laurence Dumont,NUPES,Calvados - 2ème,42.01%
Leslie MORTREUX,et Maurice DEVLOO,NUPES,Nord - 10ème,23.08%
Émeline K/BIDI,et JEAN-BERNARD MARATCHIA,NUPES,La Reunion - 4ème,36.11%
Karim Benbrahim,et Anne-Sophie Judalet,NUPES,Loire-Atlantique - 1ère,36.97%
Christine PIRES BEAUNE,et Michaël Baré,NUPES,Puy-De-Dome - 2ème,41.84%
Sandrine Rousseau,et Wilfried Bétourné,NUPES,Paris - 9ème,42.90%
Andy Kerbrat,et Marina Ferreruela,NUPES,Loire-Atlantique - 2ème,46.62%
Nicolas HELARY,et Elisabeth BOUTET,NUPES,Vendee - 2ème,21.84%
LUCIE ETONNO,et TONY RAFFIN,NUPES,Vendee - 1ère,24.16%
Bruno Studer,et Hélène Hollederer,Ensemble !,Bas-Rhin - 3ème,34.75%
Farid faryssy,et Mathilde Caille,NUPES,Vaucluse - 1ère,30.55%
Aurélien Saintoul,et Claire Gabiache,NUPES,Hauts-De-Seine - 11ème,44.98%
Bertrand Pancher,et Fabienne Godey,Divers centre,Meuse - 1ère,30.19%
Célia de Lavergne,et Philippe Cahn,Ensemble !,Drome - 3ème,23.50%
Aurélie Piacenza,et Bruno Gaultier,Ensemble !,Yvelines - 11ème,25.38%
Amélie de Montchalin,et Pierre Ollier,Ensemble !,Essonne - 6ème,31.46%
Josy Poueyto,et Pascal Mora,Ensemble !,Pyrenees-Atlantiques - 1ère,31.57%
Rudy Elegeest,et Salanon,Ensemble !,Nord - 2ème,24.82%
Nathalie Krawezynski,et William Dezettre,NUPES,Savoie - 3ème,22.76%
Michel Rhin,et Camille Valabregue,NUPES,Aveyron - 3ème,27.90%
Emma Fourreau,et Aurélien Guidi,NUPES,Calvados - 1ère,35.81%
